#TYPE Selected.System.IO.FileInfo
"FullName","SizeMB"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\backend\src\matching\ibtihelaaaaa (2).zip","841,99"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\mongodb_data\journal\WiredTigerLog.0000000003","100"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\mongodb_data\journal\WiredTigerPreplog.0000000001","100"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\frontend\.next\dev\cache\turbopack\23c46498\00001966.sst","94,92"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\frontend\.next\dev\cache\turbopack\23c46498\00001967.sst","91,91"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\frontend\.next\dev\cache\turbopack\23c46498\00001970.sst","83,21"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\frontend\.next\dev\cache\turbopack\23c46498\00001969.sst","80,26"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\frontend\.next\dev\cache\turbopack\23c46498\00001926.sst","48,28"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\frontend\.next\dev\cache\turbopack\23c46498\00001957.sst","11,89"
"C:\Users\meche\Downloads\CodeMasters_Project-main (1)\CodeMasters_Project-main\frontend\public\videos\VD.mp4","8,03"
